urlcount	url	response.status_code	response.elapsed	response.is_redirect	
1	https://mammoth-fe-qa.o-dev.unison.com	200	0:00:00.418578	False	
2	https://mammoth-fe-qa.o-dev.unison.com/prequal/whichone	200	0:00:00.212682	False	
3	https://mammoth-fe-qa.o-dev.unison.com/homebuyer_down_payment_help	200	0:00:00.370587	False	
4	https://mammoth-fe-qa.o-dev.unison.com/homebuyer_better_starter_home	200	0:00:03.386948	False	
5	https://mammoth-fe-qa.o-dev.unison.com/how_it_works_homebuyer	200	0:00:00.403861	False	
6	https://mammoth-fe-qa.o-dev.unison.com/faq_homebuyer	200	0:00:00.247703	False	
7	https://mammoth-fe-qa.o-dev.unison.com/success_stories_homebuyer	200	0:00:00.271177	False	
8	https://mammoth-fe-qa.o-dev.unison.com/homeowner_debt_relief	200	0:00:00.379922	False	
9	https://mammoth-fe-qa.o-dev.unison.com/homeowner_home_renovation	200	0:00:00.373561	False	
10	https://mammoth-fe-qa.o-dev.unison.com/how_it_works_homeowner	200	0:00:00.352019	False	
11	https://mammoth-fe-qa.o-dev.unison.com/faq_homeowner	200	0:00:00.267691	False	
12	https://mammoth-fe-qa.o-dev.unison.com/success_stories_homeowner	200	0:00:00.289572	False	
13	https://mammoth-fe-qa.o-dev.unison.com/about_us	200	0:00:00.422921	False	
14	https://mammoth-fe-qa.o-dev.unison.com/apply	200	0:00:00.248976	False	
15	https://mammoth-fe-qa.o-dev.unison.com/logout	200	0:00:00.680988	False	
16	https://mammoth-fe-qa.o-dev.unison.com/prequal/homebuyer	200	0:00:00.836171	False	
17	https://mammoth-fe-qa.o-dev.unison.com/prequal/homeowner	200	0:00:00.636792	False	
18	https://mammoth-fe-qa.o-dev.unison.com/read_more/2Y6FO6J8tYZ4INQnUmbPsH	200	0:00:00.256585	False	
19	https://mammoth-fe-qa.o-dev.unison.com/simple_contact_us	200	0:00:00.256867	False	
20	https://mammoth-fe-qa.o-dev.unison.com/blog	200	0:00:00.270993	False	
21	https://mammoth-fe-qa.o-dev.unison.com/press	200	0:00:00.219422	False	
22	https://mammoth-fe-qa.o-dev.unison.com/career_listing	200	0:00:00.318476	False	
